"Area","Kind","Name","File","Line"
"API","class","EventReportResponseDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","108"
"API","class","EventReportSummaryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","97"
"WEB","interface","GetAnalyticsOverviewInput","apps\web\src\features\analytics-overview\analytics-overview.types.ts","89"
"API","interface","GithubBranchResponse","apps\api\src\modules\repositories\services\github-code.service.ts","4"
"WEB","interface","GithubCallbackResult","apps\web\src\features\repositories\repository.types.ts","56"
"API","interface","GithubContentResponse","apps\api\src\modules\repositories\services\github-code.service.ts","28"
"API","interface","GithubInstallationResponse","apps\api\src\modules\repositories\services\github-app.service.ts","4"
"API","interface","GithubInstallationTokenResponse","apps\api\src\modules\repositories\services\github-app.service.ts","13"
"API","interface","GithubOauthResponse","apps\api\src\modules\repositories\services\github-app.service.ts","37"
"API","interface","GithubRepositoriesResponse","apps\api\src\modules\repositories\services\github-app.service.ts","32"
"API","interface","GithubRepositoryResponse","apps\api\src\modules\repositories\services\github-app.service.ts","18"
"WEB","interface","GithubSetupResult","apps\web\src\features\repositories\repository.types.ts","52"
"API","interface","GithubTreeEntryResponse","apps\api\src\modules\repositories\services\github-code.service.ts","14"
"API","interface","GithubTreeResponse","apps\api\src\modules\repositories\services\github-code.service.ts","22"
"API","interface","GithubWebhookPayload","apps\api\src\modules\repositories\services\github-webhook.service.ts","7"
"API","type","GithubWebhookRequest","apps\api\src\modules\repositories\controllers\github-webhook.controller.ts","7"
"API","interface","HealthCheckDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","21"
"API","interface","HealthCheckHistoryDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","73"
"API","class","HealthCheckListQueryDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","104"
"WEB","type","HealthCheckStatus","apps\web\src\features\monitoring\monitoring.types.ts","3"
"API","interface","HealthIncidentDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","87"
"WEB","type","HealthIncidentStatus","apps\web\src\features\monitoring\monitoring.types.ts","5"
"API","class","IncidentListQueryDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","136"
"WEB","type","InvitationDeliveryStatus","apps\web\src\features\team-operations\team-operations.types.ts","5"
"API","class","InvitationListQueryDto","apps\api\src\modules\team-operations\dto\workspace-invitation.dto.ts","19"
"API","interface","InvitationMailResult","apps\api\src\modules\team-operations\services\invitation-mailer.service.ts","12"
"WEB","interface","InvitationMutationResponse","apps\web\src\features\team-operations\team-operations.types.ts","44"
"WEB","type","InvitationStatus","apps\web\src\features\team-operations\team-operations.types.ts","3"
"API","class","LinkRepositoryApplicationDto","apps\api\src\modules\repositories\dto\repository.dto.ts","23"
"API","interface","ListNotificationsInput","apps\api\src\modules\team-operations\services\notification.service.ts","30"
"API","class","LoginDto","apps\api\src\modules\auth\dto\login.dto.ts","4"
