"Area","Kind","Name","File","Line"
"API","interface","GithubWebhookPayload","apps\api\src\modules\repositories\services\github-webhook.service.ts","7"
"API","type","GithubWebhookRequest","apps\api\src\modules\repositories\controllers\github-webhook.controller.ts","7"
"API","interface","HealthCheckDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","21"
"API","interface","HealthCheckHistoryDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","73"
"API","class","HealthCheckListQueryDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","104"
"API","type","HealthCheckWithTarget","apps\api\src\modules\monitoring\services\monitoring.service.ts","13"
"API","interface","HealthIncidentDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","87"
"API","class","IncidentListQueryDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","136"
"API","class","InvitationListQueryDto","apps\api\src\modules\team-operations\dto\workspace-invitation.dto.ts","19"
"API","interface","InvitationMailResult","apps\api\src\modules\team-operations\services\invitation-mailer.service.ts","12"
"API","class","LinkRepositoryApplicationDto","apps\api\src\modules\repositories\dto\repository.dto.ts","23"
"API","interface","ListNotificationsInput","apps\api\src\modules\team-operations\services\notification.service.ts","30"
"API","class","LoginDto","apps\api\src\modules\auth\dto\login.dto.ts","4"
"API","interface","MetricsDatabaseRow","apps\api\src\modules\analytics-overview\services\analytics-overview.service.ts","10"
"API","interface","MilestoneProgressExplanation","apps\api\src\modules\development\services\progress-calculator.service.ts","20"
"API","interface","MonitoringSummaryDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","3"
"API","interface","MonitoringTargetDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","111"
"API","class","MoveTaskDto","apps\api\src\modules\development\dto\development.dto.ts","137"
"API","interface","MutableAggregate","apps\api\src\modules\analytics-engine\services\analytics-aggregation.service.ts","17"
"API","interface","MutableAggregate","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","58"
"API","type","NodeEnvironment","apps\api\src\config\env.validation.ts","1"
"API","interface","NormalizedException","apps\api\src\common\filters\all-exceptions.filter.ts","17"
"API","interface","NormalizedPage","apps\api\src\modules\analytics-engine\utils\analytics-normalization.ts","69"
"API","interface","NormalizedSource","apps\api\src\modules\analytics-engine\utils\analytics-normalization.ts","76"
"API","class","NotificationListQueryDto","apps\api\src\modules\team-operations\dto\notification.dto.ts","18"
"API","type","NumericDatabaseValue","apps\api\src\modules\analytics-overview\utils\analytics-overview-metrics.ts","3"
"API","interface","OverviewAggregateRow","apps\api\src\modules\analytics-overview\services\analytics-overview.service.ts","32"
"API","interface","PageDatabaseRow","apps\api\src\modules\analytics-reports\services\analytics-reports.service.ts","40"
"API","class","PageReportItemDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","37"
"API","class","PageReportQueryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","88"
"API","class","PageReportResponseDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","66"
"API","enum","PageReportSortField","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","12"
"API","interface","ParsedUserAgent","apps\api\src\modules\analytics-engine\utils\analytics-normalization.ts","84"
"API","interface","PendingWebsiteRange","apps\api\src\modules\analytics-processing\services\analytics-processing-scheduler.service.ts","9"
"API","interface","PeriodMetrics","apps\api\src\modules\analytics-overview\services\analytics-overview.service.ts","24"
"API","class","ProcessAnalyticsDto","apps\api\src\modules\analytics-engine\dto\analytics-engine.dto.ts","11"
"API","interface","ProcessAnalyticsRangeInput","apps\api\src\modules\analytics-processing\services\analytics-range-processor.service.ts","12"
"API","interface","ProcessAnalyticsRangeResult","apps\api\src\modules\analytics-processing\services\analytics-range-processor.service.ts","22"
"API","interface","ProcessingRange","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","26"
"API","type","ProcessingRun","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","20"
"API","class","ProcessingRunDto","apps\api\src\modules\analytics-processing\dto\analytics-processing-response.dto.ts","3"
"API","type","ProcessingWebsite","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","11"
"API","interface","ProcessWebsiteOptions","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","31"
"API","interface","ProgressMilestone","apps\api\src\modules\development\services\progress-calculator.service.ts","11"
"API","interface","ProgressTask","apps\api\src\modules\development\services\progress-calculator.service.ts","5"
"API","type","PublicAuthSession","apps\api\src\modules\auth\controllers\auth.controller.ts","14"
"API","class","PublicHealthResponseDto","apps\api\src\modules\health\dto\health-response.dto.ts","3"
"API","type","PublicUser","apps\api\src\modules\users\users.service.ts","17"
"API","interface","PublishWebhookEventInput","apps\api\src\modules\webhooks\services\webhook-event-publisher.service.ts","6"
"API","interface","QueueProcessingInput","apps\api\src\modules\analytics-processing\services\analytics-processing-queue.service.ts","11"
"API","interface","RateLimitBucket","apps\api\src\modules\analytics-ingestion\services\ingestion-rate-limit.service.ts","3"
"API","interface","RateLimitResult","apps\api\src\common\rate-limit\shared-rate-limit.service.ts","4"
"API","type","RawAnalyticsEventRecord","apps\api\src\modules\analytics-engine\services\raw-event-processing.service.ts","14"
"API","type","RawEvent","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","22"
"API","interface","RawEventProcessingResult","apps\api\src\modules\analytics-engine\services\raw-event-processing.service.ts","16"
"API","class","RawEventQueryDto","apps\api\src\modules\analytics-ingestion\dto\raw-event-query.dto.ts","6"
"API","class","ReadinessResponseDto","apps\api\src\modules\health\dto\health-response.dto.ts","27"
"API","interface","RebuiltPageViews","apps\api\src\modules\analytics-engine\services\page-view-rebuilder.service.ts","9"
"API","interface","RebuiltSessionResult","apps\api\src\modules\analytics-engine\services\session-rebuilder.service.ts","11"
"API","interface","RebuiltSessionResult","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","45"
"API","class","RefreshTokenDto","apps\api\src\modules\auth\dto\refresh-token.dto.ts","4"
"API","interface","RefreshTokenPayload","apps\api\src\modules\auth\interfaces\jwt-payload.interface.ts","6"
"API","class","RegisterDto","apps\api\src\modules\auth\dto\register.dto.ts","4"
"API","class","ReleaseListQueryDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","185"
"API","class","ReorderItemsDto","apps\api\src\modules\development\dto\development.dto.ts","124"
"API","class","RepositoryBranchQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","3"
"API","class","RepositoryDiffQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","34"
"API","class","RepositoryFileQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","10"
"API","class","RepositorySearchQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","22"
"API","class","ReprocessAnalyticsDto","apps\api\src\modules\analytics-processing\dto\reprocess-analytics.dto.ts","4"
"API","class","ReprocessAnalyticsDto","apps\api\src\modules\analytics-engine\dto\analytics-engine.dto.ts","25"
"API","interface","RequestWithId","apps\api\src\common\middleware\request-id.middleware.ts","6"
"API","interface","RequestWithUser","apps\api\src\modules\auth\interfaces\request-with-user.interface.ts","4"
"API","class","ResolveBlockerDto","apps\api\src\modules\development\dto\development.dto.ts","206"
"API","interface","ResolvedAddress","apps\api\src\modules\webhooks\services\webhook-outbound-client.service.ts","8"
"API","interface","ResolvedAddress","apps\api\src\modules\monitoring\services\safe-http-client.service.ts","9"
"API","interface","ResolvedAnalyticsDateRange","apps\api\src\modules\analytics-overview\utils\analytics-date-range.ts","15"
"API","interface","RetentionResult","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","50"
"API","interface","RotateSessionInput","apps\api\src\modules\auth\services\auth-sessions.service.ts","24"
"API","type","SafeAuthSession","apps\api\src\modules\auth\services\auth-sessions.service.ts","20"
"API","interface","SafeHealthRequestInput","apps\api\src\modules\monitoring\services\safe-http-client.service.ts","15"
"API","interface","SafeHealthRequestResult","apps\api\src\modules\monitoring\services\safe-http-client.service.ts","27"
"API","interface","SendInvitationEmailInput","apps\api\src\modules\team-operations\services\invitation-mailer.service.ts","3"
"API","interface","SessionMetricEvent","apps\api\src\modules\analytics-engine\utils\analytics-metrics.ts","3"
"API","interface","SessionMetricPageView","apps\api\src\modules\analytics-engine\utils\analytics-metrics.ts","9"
"API","interface","SessionMetrics","apps\api\src\modules\analytics-engine\utils\analytics-metrics.ts","13"
"API","interface","SharedRateLimitOptions","apps\api\src\common\rate-limit\shared-rate-limit.decorator.ts","5"
"API","class","SkipWorkItemDto","apps\api\src\modules\development\dto\development.dto.ts","115"
"API","enum","SortOrder","apps\api\src\modules\applications\dto\application.dto.ts","15"
"API","interface","TestApplication","apps\api\src\health\health.controller.spec.ts","6"
"API","interface","TokenPair","apps\api\src\modules\auth\services\token.service.ts","8"
"API","class","TrackerEventDto","apps\api\src\modules\analytics-ingestion\dto\collect-events.dto.ts","21"
"API","class","TransferOwnershipDto","apps\api\src\modules\workspace\dto\transfer-ownership.dto.ts","4"
"API","class","TransitionDeploymentDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","112"
"API","type","TypedConfigService","apps\api\src\config\runtime-config.ts","4"
"API","class","UpdateApplicationDto","apps\api\src\modules\applications\dto\application.dto.ts","101"
"API","class","UpdateApplicationLinkDto","apps\api\src\modules\applications\dto\application-link.dto.ts","35"
"API","class","UpdateApplicationTechnologyDto","apps\api\src\modules\applications\dto\application-technology.dto.ts","28"
"API","class","UpdateBlockerDto","apps\api\src\modules\development\dto\development.dto.ts","185"
"API","class","UpdateHealthCheckDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","102"
"API","class","UpdateMilestoneDto","apps\api\src\modules\development\dto\development.dto.ts","62"
"API","class","UpdateReleaseDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","60"
"API","class","UpdateTaskDto","apps\api\src\modules\development\dto\development.dto.ts","107"
"API","interface","UpdateUserProfileInput","apps\api\src\modules\users\users.service.ts","27"
"API","class","UpdateWebhookEndpointDto","apps\api\src\modules\webhooks\dto\webhook.dto.ts","66"
"API","class","UpdateWebsiteDto","apps\api\src\modules\websites\dto\website.dto.ts","73"
"API","class","UpdateWorkspaceDto","apps\api\src\modules\workspace\dto\update-workspace.dto.ts","4"
"API","interface","UpdateWorkspaceInput","apps\api\src\modules\workspace\service\workspaces.service.ts","30"
"API","class","UpdateWorkspaceMemberRoleDto","apps\api\src\modules\workspace\dto\update-workspace-member-role.dto.ts","5"
"API","interface","ValidWebsite","apps\api\src\modules\analytics-ingestion\services\analytics-ingestion.service.ts","28"
"API","class","WebhookDeliveryListQueryDto","apps\api\src\modules\webhooks\dto\webhook.dto.ts","68"
"API","interface","WebhookHttpResult","apps\api\src\modules\webhooks\services\webhook-outbound-client.service.ts","14"
"API","class","WebsiteListQueryDto","apps\api\src\modules\websites\dto\website.dto.ts","81"
"API","interface","WebsiteReportContext","apps\api\src\modules\analytics-reports\services\analytics-reports.service.ts","30"
"API","type","WebsiteView","apps\api\src\modules\websites\services\websites.service.ts","37"
"API","type","WorkspaceMemberDetails","apps\api\src\modules\workspace\service\workspace-members.service.ts","23"
"API","interface","WorkspaceRequest","apps\api\src\modules\workspace\interfaces\workspace-request.interface.ts","4"
"API","type","WorkspaceSummary","apps\api\src\modules\workspace\service\workspaces.service.ts","20"
"SHARED","interface","ApiErrorResponse","packages\shared-types\src\index.ts","10"
"SHARED","type","ApplicationPriority","packages\shared-types\src\index.ts","8"
"SHARED","interface","HealthResponse","packages\shared-types\src\index.ts","27"
"SHARED","type","TaskStatus","packages\shared-types\src\index.ts","5"
"SHARED","type","WorkspaceRole","packages\shared-types\src\index.ts","2"
"WEB","interface","ActiveFilterChip","apps\web\src\features\applications\components\active-filter-chips.tsx","7"
"WEB","interface","ActiveFilterChipsProps","apps\web\src\features\applications\components\active-filter-chips.tsx","12"
"WEB","interface","ActivityActor","apps\web\src\features\activity\activity-types.ts","73"
"WEB","type","ActivityActorType","apps\web\src\features\activity\activity-types.ts","3"
"WEB","type","ActivityActorType","apps\web\src\features\activity\components\activity-filters.tsx","12"
"WEB","interface","ActivityApplication","apps\web\src\features\activity\activity-types.ts","79"
"WEB","type","ActivityBadgeVariant","apps\web\src\features\activity\activity-constants.ts","3"
"WEB","type","ActivityEntityType","apps\web\src\features\activity\components\activity-filters.tsx","13"
"WEB","type","ActivityEntityType","apps\web\src\features\activity\activity-types.ts","7"
"WEB","interface","ActivityFeedProps","apps\web\src\features\activity\components\activity-feed.tsx","68"
"WEB","interface","ActivityFilters","apps\web\src\features\activity\workspace-activity-api.ts","30"
"WEB","interface","ActivityFiltersProps","apps\web\src\features\activity\components\activity-filters.tsx","32"
"WEB","interface","ActivityFilterValue","apps\web\src\features\activity\components\activity-filters.tsx","18"
